N_Traitement;Nom_traitement;Finalite_principale;Sous-finalites;Base_legale_RGPD;Categorie_personnes_concernees;Categories_donnees;Donnees_sensibles_Art9;Source_donnees;Destinataires_internes;Destinataires_externes_sous-traitants;Transferts_hors_UE;Garanties_transferts;Duree_conservation;Mesures_securite_techniques;Mesures_securite_organisationnelles;DPIA_realisee;Owner_metier;Date_creation;Date_derniere_revue
T-001;Gestion de la paie;Verser les salaires et gerer les obligations sociales;Bulletins, declarations URSSAF, retraite;Obligation legale (art 6.1.c) + contrat (art 6.1.b);Salaries, anciens salaries;Identite, coordonnees, donnees bancaires, situation familiale, salaire, cotisations;Non;Collecte directe + RH;Service RH, Comptabilite, Direction;Editeur paie [Nom], URSSAF, organismes retraite, mutuelle, banque;Non;-;5 ans apres depart + obligations specifiques (Code travail);Chiffrement BDD, controle d'acces stricte, MFA;Sensibilisation RH, contrats sous-traitance art 28;Non requise;DRH;2024-01-15;2026-01-15
T-002;Gestion des candidatures;Recruter de nouveaux collaborateurs;Tri CV, entretiens, prise de reference;Mesures precontractuelles (art 6.1.b) + interets legitimes pour CVtheque (art 6.1.f);Candidats;Identite, coordonnees, parcours, formation, prise reference;Non;CV envoyes directement + jobboards;Equipe recrutement, manager direct;Plateforme ATS [Nom];Non;-;2 ans apres dernier contact si CVtheque, 6 mois si refus motive;Acces restreint ATS, MFA;Charte recrutement RGPD, formation recruteurs;Non requise (volume standard);DRH;2024-01-15;2026-01-15
T-003;Gestion de la clientele B2B;Gerer la relation commerciale et facturer;Devis, commandes, factures, support client;Contrat (art 6.1.b) + obligations legales (art 6.1.c);Contacts professionnels chez clients;Identite professionnelle, fonction, coordonnees pro, historique commercial;Non;Collecte directe + commerciaux;Direction commerciale, ADV, Comptabilite, Support;CRM [Nom], outil ERP, prestataire comptable;Non (heberge UE);-;Duree contrat + 10 ans (obligations comptables);Chiffrement TLS, MFA, segmentation reseau;Charte commercial, controles d'acces;Non requise;Directeur Commercial;2024-01-15;2026-01-15
T-004;Prospection commerciale B2B;Identifier des nouveaux clients;Emailing prospects, salons, demarchage telephonique;Interets legitimes (art 6.1.f) avec droit d'opposition;Prospects professionnels;Identite pro, fonction, coordonnees pro;Non;Achat fichier qualifie + LinkedIn + salons + site web (formulaires);Equipe commerciale, Marketing;Outil emailing [Nom];Non (UE);-;3 ans apres dernier contact ou opposition;Chiffrement TLS, opt-out automatique;Charte prospection, suivi des oppositions;Non requise;Directeur Marketing;2024-01-15;2026-01-15
T-005;Cookies et analytics site web;Mesurer l'audience et optimiser le site;Statistiques agregees, parcours utilisateur;Consentement (art 6.1.a) pour cookies non essentiels;Visiteurs du site web;Identifiants techniques, IP, parcours navigation, device;Non;Tags du site;Equipe Marketing, DSI;Plateforme analytics, outil mesure audience;Variable selon prestataire;Verifier DPF ou SCC;13 mois (CNIL);Pseudonymisation IP, agregat;CMP conforme CNIL, bandeau de consentement;Non requise;Directeur Marketing;2024-01-15;2026-01-15
T-006;Videosurveillance des locaux;Securiser les acces et les biens;Prevention vol, securite incendie;Interets legitimes (art 6.1.f);Visiteurs, salaries, prestataires;Image, horodatage;Non;Cameras sur site;Services generaux, RSSI;Aucun en routine, autorite enquete sur requisition;Non;-;30 jours maximum;Chiffrement, acces restreint horodate;Information visible aux entrees, charte;Realisee (zones publiques);Services Generaux;2024-01-15;2026-01-15
T-007;Newsletter et evenements;Communiquer aupres des clients/prospects;Newsletters, invitations evenements, contenu marketing;Consentement (art 6.1.a) ou client existant (interets legitimes);Clients, prospects opt-in;Identite, coordonnees, centres d'interet declares;Non;Formulaires site + opt-in commercial;Marketing;Plateforme emailing [Nom];Verifier;DPF/SCC si USA;3 ans apres dernier engagement;Opt-out one-click, chiffrement TLS;Suivi taux d'engagement et oppositions;Non requise;Directeur Marketing;2024-01-15;2026-01-15
T-008;Logs et journaux d'evenements securite;Detecter et reagir aux incidents securite;SIEM, audit conformite, forensic;Interets legitimes (art 6.1.f) + obligations legales;Salaries, prestataires, visiteurs reseau;IDs, IP, horodatage actions, URL accedees;Non;Systemes d'information;DSI, RSSI, SOC;Aucun (interne) sauf requisition;Non;-;12 mois (jusqu'a 1 an + 1 jour - decret 2006-358);Acces restreint MFA, chiffrement, integrite;Politique log, charte utilisateur informe;Non requise;RSSI;2024-01-15;2026-01-15
T-009;Charte utilisateur et controle SI;Verifier le respect de la charte utilisateur;Detection anomalies, enquetes en cas d'incident;Interets legitimes (art 6.1.f);Salaries, prestataires;Logs d'usage, fichiers professionnels;Non;Postes utilisateurs, serveurs;DSI, RSSI, RH si enquete;Aucun en routine;Non;-;Selon log securite (12 mois) ou duree enquete;Acces restreint, separation des roles;Information CSE, charte signee, DPIA;Realisee;RSSI + DRH;2024-01-15;2026-01-15
T-010;Gestion fournisseurs;Suivre les contrats et facturations;Onboarding, factures, paiements;Contrat (art 6.1.b) + obligations comptables;Contacts professionnels chez fournisseurs;Identite pro, coordonnees pro, donnees bancaires fournisseur;Non;Collecte directe;Achats, Comptabilite;ERP, banque;Non (UE);-;10 ans (obligations comptables);Chiffrement BDD, MFA acces ERP;Procedure achat, controle des acces;Non requise;Direction Achats;2024-01-15;2026-01-15
